timestamp,login,status,message,user_name,user_area,user_profile,app_env,machine_user,session_id
2026-06-08T00:45:35,msi7ng,accepted_responsibility,Responsabilidade SPS aceita antes do acesso.,Matheus Ramos Morais Silva,Aprendiz função 5,user,local,MSI7NG,54b82da3e92e4fa79379360bd73f4a80
2026-06-08T10:49:50,msi7ng,authorized,Login autorizado.,Matheus Ramos Morais Silva,Aprendiz função 5,user,local,MSI7NG,54b82da3e92e4fa79379360bd73f4a80
2026-06-08T10:49:50,msi7ng,accepted_responsibility,Responsabilidade SPS aceita antes do acesso.,Matheus Ramos Morais Silva,Aprendiz função 5,user,local,MSI7NG,54b82da3e92e4fa79379360bd73f4a80
2026-06-09T08:08:27,msi7ng,authorized,Login autorizado.,Matheus Ramos Morais Silva,Aprendiz função 5,user,local,MSI7NG,1aa336c9d8ae4da8acc42865f90a2d5b
2026-06-09T08:08:27,msi7ng,accepted_responsibility,Responsabilidade SPS aceita antes do acesso.,Matheus Ramos Morais Silva,Aprendiz função 5,user,local,MSI7NG,1aa336c9d8ae4da8acc42865f90a2d5b
2026-06-09T08:16:49,msi7ng,authorized,Login autorizado.,Matheus Ramos Morais Silva,Aprendiz função 5,user,local,MSI7NG,1aa336c9d8ae4da8acc42865f90a2d5b
2026-06-09T08:16:49,msi7ng,accepted_responsibility,Responsabilidade SPS aceita antes do acesso.,Matheus Ramos Morais Silva,Aprendiz função 5,user,local,MSI7NG,1aa336c9d8ae4da8acc42865f90a2d5b
2026-06-09T08:25:29,msi7ng,authorized,Login autorizado.,Matheus Ramos Morais Silva,Aprendiz função 5,user,local,MSI7NG,1aa336c9d8ae4da8acc42865f90a2d5b
2026-06-09T08:25:29,msi7ng,accepted_responsibility,Responsabilidade SPS aceita antes do acesso.,Matheus Ramos Morais Silva,Aprendiz função 5,user,local,MSI7NG,1aa336c9d8ae4da8acc42865f90a2d5b
2026-06-10T15:10:09,msi7ng,authorized,Login autorizado.,Matheus Ramos Morais Silva,Aprendiz função 5,user,local,MSI7NG,1aa336c9d8ae4da8acc42865f90a2d5b
2026-06-10T15:10:09,msi7ng,accepted_responsibility,Responsabilidade SPS aceita antes do acesso.,Matheus Ramos Morais Silva,Aprendiz função 5,user,local,MSI7NG,1aa336c9d8ae4da8acc42865f90a2d5b
2026-06-10T15:12:01,msi7ng,authorized,Login autorizado.,Matheus Ramos Morais Silva,Aprendiz função 5,user,local,MSI7NG,1aa336c9d8ae4da8acc42865f90a2d5b
2026-06-10T15:12:01,msi7ng,accepted_responsibility,Responsabilidade SPS aceita antes do acesso.,Matheus Ramos Morais Silva,Aprendiz função 5,user,local,MSI7NG,1aa336c9d8ae4da8acc42865f90a2d5b
2026-06-15T14:12:12,msi7ng,authorized,Login autorizado.,Matheus Ramos Morais Silva,Aprendiz função 5,user,local,MFOFNZ,d3faefb71ec0492c8ae058af19697591
2026-06-15T14:12:12,msi7ng,accepted_responsibility,Responsabilidade SPS aceita antes do acesso.,Matheus Ramos Morais Silva,Aprendiz função 5,user,local,MFOFNZ,d3faefb71ec0492c8ae058af19697591
2026-06-15T14:12:16,msi7ng,logout,Logout realizado pelo usuário.,Matheus Ramos Morais Silva,Aprendiz função 5,user,local,MFOFNZ,d3faefb71ec0492c8ae058af19697591
2026-06-18T12:47:10,msi7ng,authorized,Login autorizado.,Matheus Ramos Morais Silva,Aprendiz função 5,user,local,MSI7NG,1aa336c9d8ae4da8acc42865f90a2d5b
2026-06-18T12:47:10,msi7ng,accepted_responsibility,Responsabilidade SPS aceita antes do acesso.,Matheus Ramos Morais Silva,Aprendiz função 5,user,local,MSI7NG,1aa336c9d8ae4da8acc42865f90a2d5b
